39, Adm-clerical,40, Male, Bachelors, State-gov, <=50K
50, Exec-managerial,13, Male, Bachelors, Self-emp-not-inc, <=50K
38, Handlers-cleaners,40, Male, HS-grad, Private, <=50K
53, Handlers-cleaners,40, Male, 11th, Private, <=50K
28, Prof-specialty,40, Female, Bachelors, Private, <=50K
37, Exec-managerial,40, Female, Masters, Private, <=50K
49, Other-service,16, Female, 9th, Private, <=50K
52, Exec-managerial,45, Male, HS-grad, Self-emp-not-inc, >50K
31, Prof-specialty,50, Female, Masters, Private, >50K
42, Exec-managerial,40, Male, Bachelors, Private, >50K
37, Exec-managerial,80, Male, Some-college, Private, >50K
30, Prof-specialty,40, Male, Bachelors, State-gov, >50K
23, Adm-clerical,30, Female, Bachelors, Private, <=50K
32, Sales,50, Male, Assoc-acdm, Private, <=50K
40, Craft-repair,40, Male, Assoc-voc, Private, >50K
34, Transport-moving,45, Male, 7th-8th, Private, <=50K
25, Farming-fishing,35, Male, HS-grad, Self-emp-not-inc, <=50K
32, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
38, Sales,50, Male, 11th, Private, <=50K
43, Exec-managerial,45, Female, Masters, Self-emp-not-inc, >50K
40, Prof-specialty,60, Male, Doctorate, Private, >50K
54, Other-service,20, Female, HS-grad, Private, <=50K
35, Farming-fishing,40, Male, 9th, Federal-gov, <=50K
43, Transport-moving,40, Male, 11th, Private, <=50K
59, Tech-support,40, Female, HS-grad, Private, <=50K
56, Tech-support,40, Male, Bachelors, Local-gov, >50K
19, Craft-repair,40, Male, HS-grad, Private, <=50K
54, ?,60, Male, Some-college, ?, >50K
39, Exec-managerial,80, Male, HS-grad, Private, <=50K
49, Craft-repair,40, Male, HS-grad, Private, <=50K
23, Protective-serv,52, Male, Assoc-acdm, Local-gov, <=50K
20, Sales,44, Male, Some-college, Private, <=50K
45, Exec-managerial,40, Male, Bachelors, Private, <=50K
30, Adm-clerical,40, Male, Some-college, Federal-gov, <=50K
22, Other-service,15, Male, Some-college, State-gov, <=50K
48, Machine-op-inspct,40, Male, 11th, Private, <=50K
21, Machine-op-inspct,40, Male, Some-college, Private, <=50K
19, Adm-clerical,25, Female, HS-grad, Private, <=50K
31, Sales,38, Male, Some-college, Private, >50K
48, Prof-specialty,40, Male, Assoc-acdm, Self-emp-not-inc, <=50K
31, Machine-op-inspct,43, Male, 9th, Private, <=50K
53, Prof-specialty,40, Male, Bachelors, Self-emp-not-inc, <=50K
